U+2A7D8	𪟘	ql
U+2A7D9	𪟙	gl
U+2A7DA	𪟚	ml
U+2A7DB	𪟛	sl
U+2A7DC	𪟜	sl
U+2A7DD	𪟝	zl
U+2A7DE	𪟞	nc
U+2A7DF	𪟟	ml
U+2A7E0	𪟠	yl
U+2A7E1	𪟡	nk
U+2A7E2	𪟢	yl
U+2A7E3	𪟣	kl
U+2A7E4	𪟤	nn
U+2A7E5	𪟥	hl
U+2A7E6	𪟦	nz
U+2A7E7	𪟧	nn
U+2A7E8	𪟨	yb
U+2A7E9	𪟩	bt
U+2A7EA	𪟪	bb
U+2A7EB	𪟫	bh
U+2A7EC	𪟬	ky
U+2A7ED	𪟭	kj
U+2A7EE	𪟮	qy
U+2A7EF	𪟯	kl
U+2A7F0	𪟰	kg
U+2A7F1	𪟱	kx
U+2A7F2	𪟲	kg
U+2A7F3	𪟳	wg
U+2A7F4	𪟴	sq
U+2A7F5	𪟵	zw
U+2A7F6	𪟶	bs
U+2A7F7	𪟷	zm
U+2A7F8	𪟸	bp
U+2A7F9	𪟹	sl
U+2A7FA	𪟺	zy
U+2A7FB	𪟻	zs
U+2A7FC	𪟼	zx
U+2A7FD	𪟽	bl
U+2A7FE	𪟾	wb
U+2A7FF	𪟿	zb
U+2A800	𪠀	bs
U+2A801	𪠁	he
U+2A802	𪠂	yj
U+2A803	𪠃	cm
U+2A804	𪠄	cd
U+2A805	𪠅	cj
U+2A806	𪠆	cb
U+2A807	𪠇	cc
U+2A808	𪠈	cy
U+2A809	𪠉	cg
U+2A80A	𪠊	cd
U+2A80B	𪠋	cz
U+2A80C	𪠌	cq
U+2A80D	𪠍	cc
U+2A80E	𪠎	cx
U+2A80F	𪠏	yp
U+2A810	𪠐	cj
U+2A811	𪠑	cf
U+2A812	𪠒	cn
U+2A813	𪠓	ch
U+2A814	𪠔	cs
U+2A815	𪠕	cw
U+2A816	𪠖	cp
U+2A817	𪠗	ht
U+2A818	𪠘	cj
U+2A819	𪠙	cy
U+2A81A	𪠚	ct
U+2A81B	𪠛	cg
U+2A81C	𪠜	sp
U+2A81D	𪠝	qn
U+2A81E	𪠞	dq
U+2A81F	𪠟	cy
U+2A820	𪠠	yh
U+2A821	𪠡	cl
U+2A822	𪠢	qg
